Date,Predicted_Close,Actual_Close,Stock
2022-03-18,0.3785978555679321,0.395,OCK
2022-03-21,0.354771077632904,0.405,OCK
2022-03-22,0.3841448724269867,0.405,OCK
2022-03-23,0.4147692918777466,0.405,OCK
2022-03-24,0.375607281923294,0.4,OCK
2022-03-25,0.3542427122592926,0.41,OCK
2022-03-28,0.3742544054985046,0.425,OCK
2022-03-29,0.3960200846195221,0.425,OCK
2022-03-30,0.3795671164989471,0.42,OCK
2022-03-31,0.3500900566577911,0.425,OCK
2022-04-01,0.3761205971240997,0.43,OCK
2022-04-04,0.3629971146583557,0.43,OCK
2022-04-05,0.3813311457633972,0.43,OCK
2022-04-06,0.4043606221675873,0.43,OCK
2022-04-07,0.3795339465141296,0.42,OCK
2022-04-08,0.3543002009391784,0.43,OCK
2022-04-11,0.3728873431682586,0.43,OCK
2022-04-12,0.3957164883613586,0.425,OCK
2022-04-13,0.3715255260467529,0.43,OCK
2022-04-14,0.3495410084724426,0.43,OCK
2022-04-15,0.3844106793403625,0.43,OCK
2022-04-18,0.3681372702121734,0.435,OCK
2022-04-20,0.3819530606269836,0.435,OCK
2022-04-21,0.4056507349014282,0.435,OCK
2022-04-22,0.3771530985832214,0.425,OCK
2022-04-25,0.3664534091949463,0.425,OCK
2022-04-26,0.3763949573040008,0.425,OCK
2022-04-27,0.3984027504920959,0.425,OCK
2022-04-28,0.3722100257873535,0.425,OCK
2022-04-29,0.3546823859214782,0.42,OCK
2022-05-05,0.383026659488678,0.425,OCK
2022-05-06,0.3684009313583374,0.405,OCK
2022-05-09,0.3799628615379333,0.4,OCK
2022-05-10,0.4061176180839538,0.41,OCK
2022-05-11,0.3782746195793152,0.41,OCK
2022-05-12,0.3753605484962463,0.39,OCK
2022-05-13,0.3827912211418152,0.4,OCK
2022-05-17,0.3940346837043762,0.4,OCK
2022-05-18,0.37590491771698,0.39,OCK
2022-01-03,0.3612622916698456,0.395,OCNCASH
2022-01-04,0.3730049729347229,0.39,OCNCASH
2022-01-05,0.3615292310714721,0.4,OCNCASH
2022-01-06,0.3816292881965637,0.4,OCNCASH
2022-01-07,0.4058875143527984,0.405,OCNCASH
2022-01-10,0.3756523132324219,0.4,OCNCASH
2022-01-11,0.3663001954555511,0.395,OCNCASH
2022-01-12,0.3732326626777649,0.395,OCNCASH
2022-01-13,0.3918657302856445,0.39,OCNCASH
2022-01-14,0.3688912689685821,0.39,OCNCASH
2022-01-17,0.3198917210102081,0.395,OCNCASH
2022-01-19,0.3552647531032562,0.385,OCNCASH
2022-01-20,0.3273095786571502,0.385,OCNCASH
2022-01-21,0.3555105924606323,0.375,OCNCASH
2022-01-24,0.3797409534454345,0.375,OCNCASH
2022-01-25,0.3434836268424988,0.38,OCNCASH
2022-01-26,0.3413484990596771,0.385,OCNCASH
2022-01-27,0.3431283235549927,0.38,OCNCASH
2022-01-28,0.3668632507324219,0.375,OCNCASH
2022-02-03,0.3363708853721618,0.38,OCNCASH
2022-02-04,0.3108746707439422,0.385,OCNCASH
2022-02-07,0.336059033870697,0.395,OCNCASH
2022-02-08,0.3281950354576111,0.395,OCNCASH
2022-02-09,0.3415510654449463,0.39,OCNCASH
2022-02-10,0.3551712036132812,0.385,OCNCASH
2022-02-11,0.3356336951255798,0.385,OCNCASH
2022-02-14,0.3133201003074646,0.375,OCNCASH
2022-02-15,0.3335530757904053,0.375,OCNCASH
2022-02-16,0.3567376136779785,0.38,OCNCASH
2022-02-17,0.3298722505569458,0.385,OCNCASH
2022-02-18,0.3027504980564117,0.38,OCNCASH
2022-02-21,0.3271168172359466,0.38,OCNCASH
2022-02-22,0.3144720196723938,0.375,OCNCASH
2022-02-23,0.3264495134353637,0.38,OCNCASH
2022-02-24,0.3487274050712585,0.37,OCNCASH
2022-02-25,0.3228616416454315,0.375,OCNCASH
2022-02-28,0.3204107284545898,0.37,OCNCASH
2022-03-01,0.3231395483016968,0.37,OCNCASH
2022-03-02,0.339089035987854,0.365,OCNCASH
2022-03-03,0.3196999728679657,0.365,OCNCASH
2022-03-04,0.2890297770500183,0.355,OCNCASH
2022-03-07,0.322399377822876,0.34,OCNCASH
2022-03-08,0.3029464781284332,0.33,OCNCASH
2022-03-09,0.3199346363544464,0.34,OCNCASH
2022-03-10,0.3403110206127167,0.345,OCNCASH
2022-03-11,0.3116232454776764,0.35,OCNCASH
2022-03-14,0.3088443279266357,0.355,OCNCASH
2022-03-15,0.3135051429271698,0.35,OCNCASH
2022-03-17,0.3307589888572693,0.345,OCNCASH
2022-03-18,0.3101587891578674,0.34,OCNCASH
2022-03-21,0.2957254648208618,0.34,OCNCASH
2022-03-22,0.3229434490203857,0.345,OCNCASH
2022-03-23,0.3124868273735046,0.35,OCNCASH
2022-03-24,0.3247811198234558,0.345,OCNCASH
2022-03-25,0.343461126089096,0.35,OCNCASH
2022-03-28,0.3157747387886047,0.365,OCNCASH
